NAMESPACE            NAME                                                              READY   STATUS                   RESTARTS         AGE     IP              NODE   NOMINATED NODE   READINESS GATES
default              faultprediction-zqnh2                                             1/1     Running                  377 (2d ago)     3d9h    10.254.84.38    cp0    <none>           <none>
default              fskmcservice-v2sjz                                                1/1     Running                  0                3d9h    10.254.84.37    cp0    <none>           <none>
default              grafana-966cd96df-g6txn                                           0/1     Error                    1                17d     10.254.84.72    cp0    <none>           <none>
default              grafana-966cd96df-kp98g                                           1/1     Running                  285 (2d1h ago)   4d1h    10.254.83.236   cp0    <none>           <none>
default              iam-lxzk8                                                         1/1     Running                  126 (2d1h ago)   3d9h    10.254.84.33    cp0    <none>           <none>
default              influxproxy-7csws                                                 1/1     Running                  0                3d9h    10.254.84.25    cp0    <none>           <none>
default              initializationservice-6985f7799-6ksds                             2/2     Running                  302 (2d ago)     4d      10.254.83.229   cp0    <none>           <none>
default              initializationservice-6985f7799-bs6lq                             0/2     ContainerStatusUnknown   2 (16d ago)      17d     10.254.84.0     cp0    <none>           <none>
default              inventory-d2vcb                                                   1/1     Running                  126 (2d1h ago)   3d9h    10.254.84.28    cp0    <none>           <none>
default              ipconfig-pxb8h                                                    1/1     Running                  126 (2d1h ago)   3d9h    10.254.84.66    cp0    <none>           <none>
default              keymgmt-tkxwr                                                     1/1     Running                  0                3d9h    10.254.84.29    cp0    <none>           <none>
default              kube-state-metrics-f47946ddd-f8lz2                                1/1     Running                  0                4d      10.254.84.60    cp0    <none>           <none>
default              kube-state-metrics-f47946ddd-fsn8g                                0/1     Error                    1 (16d ago)      17d     10.254.83.246   cp0    <none>           <none>
default              license-558648f575-q5gmn                                          0/1     Error                    1                17d     10.254.84.3     cp0    <none>           <none>
default              license-558648f575-t455t                                          1/1     Running                  122 (2d1h ago)   4d      10.254.84.27    cp0    <none>           <none>
default              logmgmt-65vfx                                                     1/1     Running                  118 (2d1h ago)   3d9h    10.254.84.69    cp0    <none>           <none>
default              memhog-noenable                                                   1/1     Running                  0                4m29s   10.254.84.82    cp0    <none>           <none>
